,tsne-2d-one,tsne-2d-two
95,-9.989636,35.838486
96,-65.58658,-26.817303
97,-23.841879,-28.308788
98,41.734074,-42.27609
99,-16.90125,60.714222
100,67.11282,-37.787174
101,63.811527,13.952586
102,10.53876,17.923136
103,8.5494795,51.779186
104,-8.069886,65.42153
105,-38.037556,59.068066
106,46.64181,-10.11693
107,-24.84646,-53.58644
108,-24.701067,58.037956
109,-18.706139,34.856155
110,-0.16641872,-4.8253036
111,-27.010061,-42.294502
112,20.427322,7.158338
113,-35.562885,62.722904
114,-47.351955,31.452185
115,-29.656988,31.961855
116,-20.338657,38.813225
117,-0.3311296,51.41777
118,-35.871204,35.13493
119,-13.748495,12.644382
120,21.691536,24.437485
121,-31.354576,7.2422385
122,-41.508785,48.28133
123,54.967453,-53.53888
124,-54.93966,63.929127
125,-9.574384,59.886562
126,79.7191,17.449358
127,-19.245056,-3.9092815
128,-1.4212188,24.034355
129,-20.078926,-4.2219925
130,43.905895,-42.103123
131,38.798218,-51.476894
132,18.70246,22.981182
133,-56.146805,21.98297
134,-3.3201005,4.7829714
135,-49.06487,-42.688213
136,52.16163,7.5499263
137,-28.981401,-58.792034
138,65.88156,-33.130363
139,-24.852486,8.036363
140,44.61937,-44.859234
141,-35.398758,69.945915
142,22.976957,19.649433
143,-34.85281,-34.792595
144,-67.304924,22.124975
145,-60.019318,-26.066658
146,-7.1009283,12.168215
147,23.450804,-37.01532
148,57.2902,5.3937306
149,-6.01142,-42.39261
150,-20.592524,56.11393
151,20.251678,39.77803
152,-36.699192,-5.9395185
153,17.357296,18.86036
154,-48.89236,-30.086767
155,2.2760205,-14.311552
156,69.393135,-26.019016
157,51.338818,7.501066
158,39.728806,3.2389362
159,-46.667007,-22.553978
160,-18.050325,38.13992
161,43.869114,-63.340572
162,-22.991318,-6.859237
163,2.0374224,51.4272
164,61.250423,-28.236544
165,37.907864,18.685562
166,-22.356228,36.74773
167,-35.034397,-21.729687
168,-56.71452,-30.639406
169,-18.489204,43.09547
170,-14.99374,47.666653
171,-54.150158,5.236573
172,0.2546666,-54.164608
173,32.24105,18.931284
174,10.487878,-34.41018
175,-31.559464,-39.54729
176,-36.04498,-30.651169
177,5.9429693,10.436809
178,-44.604183,-36.624714
179,5.5593147,7.402141
180,-47.66719,-33.504276
181,8.573794,10.700678
182,5.2283797,-1.4854964
183,77.93239,-7.910889
184,8.596068,3.4358816
185,-28.552305,40.387493
186,4.761275,-37.7973
187,26.72601,25.625694
188,82.446045,-1.5907252
189,-63.98202,-26.371094
190,-34.290924,-59.917137
191,-65.88388,-27.336348
192,72.026146,-0.06959449
193,-21.307215,61.26237
194,58.72071,13.814986
195,-3.3204038,36.542427
196,-51.181587,-44.846786
197,38.633144,-48.968227
198,-20.639332,39.63378
199,13.426928,-35.281174
200,33.680912,-10.340699
201,69.340675,-37.113636
202,-22.804497,-50.604446
203,-49.664204,-28.185081
204,-31.895864,-44.0768
205,21.749763,9.305668
206,-22.311785,63.61372
207,24.702938,31.451206
208,-0.6613841,-56.14018
